Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
2000,153,"Action, Crime, Drama",4.2,274,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
1953,131,"Drama, Romance",6.0,35,R.D. Mathur,Agha,Nasir Khan,Leela Mishra
1982,131,Drama,4.8,8,Muzaffar Ali,Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria
1953,150,"Drama, Musical, Romance",7.2,275,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
1971,131,Thriller,6.4,10,Kishore Rege,Jaya Bachchan,Ramesh Deo,Dharmendra
1935,131,Unknown,6.0,35,N.G. Bulchandani,Abdul Rehman Kabuli,Unknown,Unknown
1950,131,Unknown,6.0,35,Kulbhushan,Cuckoo,Indubala,Vikram Kapoor
1978,135,"Action, Drama",6.0,25,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
1992,131,Drama,6.0,35,Rajendra Bhatia,Arun Bali,Unknown,Unknown
2020,114,"Comedy, Horror",6.0,35,Amrit Raj Thakur,Dev Vart Singh,Arya Chaturvedi,Muskaan Sinha
1996,131,Action,6.0,35,Unknown,Unknown,Unknown,Unknown
1946,131,Unknown,6.0,35,Unknown,Unknown,Unknown,Unknown
1960,131,Unknown,6.0,35,A. Bhimsingh,Padmini,Shivaji Ganesan,Rajasulochana
1993,149,"Drama, Romance",6.0,448,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh
1977,150,Drama,6.8,94,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal
1944,131,"Drama, Romance",3.2,5,S.M. Yusuf,Husn Banu,Sulochana Chatterjee,Gope
2019,60,Horror,6.0,35,Raja Bhargav,Komal Bharti,Urmila Chandolia,Ankit Jha
2004,123,"Drama, Romance",6.0,35,Sandeep Kumar,Akansha,Rakhi Bajaj,Amit Dhamija
1987,116,Drama,5.5,281,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
1947,131,"Comedy, Sci-Fi",4.1,8,Khwaja Ahmad Abbas,Nayantara,Shyam,Rashid Ahmed
1963,144,"Drama, Romance",5.6,52,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda
2004,131,Romance,6.0,35,Vikram Naaru,Arun Bakshi,Bharat Kapoor,Shakti Kapoor
1935,131,Unknown,6.0,5,Nagendra Majumdar,Unknown,Unknown,Unknown
2003,46,Action,3.1,15,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
1990,164,"Action, Crime, Drama",4.7,586,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar
1985,153,"Action, Drama",5.1,40,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy
1948,131,Unknown,6.0,35,Balwant Joshi,Zohra,Unknown,Unknown
1993,131,Action,5.6,29,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Radha
1992,147,"Action, Thriller",5.3,144,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar
2001,131,"Action, Thriller",4.7,23,Kanti Shah,Dharmendra,Mohan Joshi,Shakti Kapoor
1992,131,Action,6.0,35,Ravi Raja Pinisetty,Chiranjeevi,Radha,Vijayshanti
2006,131,Action,6.0,46,Mahesh Anand,Tanikella Bharani,Gulshan Grover,Milind Gunaji
1940,131,Unknown,6.0,35,Jayant Desai,Rose,Prithviraj Kapoor,Ishwarlal
1991,131,Thriller,6.0,35,Rajni Bala,Jainendra,Jamuna,Neela
2004,131,Action,6.0,35,Jayasudha,Nassar,Soundarya,Vijayakanth
2006,131,Action,5.7,17,Arjun Sarja,Jagapathi Babu,Gajala,Vija Kumar
1976,170,"Action, Romance",3.5,23,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet
1995,131,Action,6.0,35,Sahil Surti,Rakesh Bedi,Brahmachari,Jamuna
2000,131,"Action, Crime, Thriller",5.8,8,Pratap Barot,Ishrat Ali,Vikas Anand,Raj Babbar
1992,131,Action,6.0,35,Satya Murthy G.,Nagendra,Disco Shanti,Unknown
2000,128,"Action, Crime",4.3,31,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
1995,131,Action,6.0,35,Pavithran,Prabhu Deva,Sarath Kumar,Kushboo
1991,123,"Action, Romance",3.1,14,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor
1997,131,Action,6.0,35,Kodanda Rami Reddy A.,Bhanupriya,Chiranjeevi,Manik Irani
1976,131,Drama,4.5,10,Surendra Shailaj,Jaymala Adarsh,Shreeram Lagoo,Romesh Sharma
1984,157,"Action, Drama",5.8,65,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
1934,131,Unknown,6.0,35,R.S. Choudhury,Jal Merchant,Shantakumari,Unknown
1988,128,"Action, Drama",5.0,26,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
1990,132,Action,3.3,15,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday
1985,131,Adventure,5.3,37,S.V. Rajendra Singh Babu,Jayanthi,Manjula,Amrish Puri
1984,137,"Action, Drama, Crime",5.6,79,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
1955,131,Unknown,6.0,35,Leela Chitnis,Ajit,Ajit Chitnis,Leela Chitnis
1991,131,Drama,6.0,35,Ajay Kumar,Vijay Kumar,Jaishree Patel,Unknown
1979,131,Drama,6.0,35,Mukul Dutt,Danny Denzongpa,Padma Khanna,Pradeep Kumar
1940,131,Drama,6.0,35,G.P. Pawar,Jeevan,Trilok Kapoor,Nazir
1988,131,Action,6.0,35,Kodanda Rami Reddy A.,Unknown,Unknown,Unknown
1976,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1948,131,Unknown,6.0,35,D.D. Kashyap,Motilal,Suraiya,Lala Yaqoob
1992,131,Thriller,6.0,35,Madhuri,Pratap,Raghu,Ravi
1992,131,Unknown,6.0,35,Anil Nagrath,Jaya Mathur,Anil Nagrath,Sunil Puri
1973,131,Comedy,7.3,88,Rajendra Bhatia,Radha Saluja,Kiran Kumar,I.S. Johar
1993,131,"Action, Drama",3.8,14,Avtar Bhogal,Jeetendra,Dimple Kapadia,Sujata Mehta
1968,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1994,131,Romance,6.0,35,Rakesh Kakaria,Unknown,Unknown,Unknown
2000,131,Drama,6.0,35,Pradeep Chandra,Beena Banerjee,Amita Nangia,Moon Moon Sen
2002,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
1993,162,Romance,4.4,30,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor
2007,137,"Drama, Family, Music",6.2,35,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav
1994,131,"Drama, Romance",6.0,35,Tammu Hasan,Neelima Azim,Bob Christo,Puneet Issar
1968,121,"Drama, Romance",6.7,14,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma
1994,131,"Drama, Romance",3.3,7,Mohnish Bahl,Chandni,Kulbhushan Kharbanda,Ranbir Pushp
1993,120,Drama,6.0,35,Dinkar Chowdhary,Om Puri,Pankaj Kapur,Sadashiv Amrapurkar
1991,131,Drama,6.0,35,Ravi Buley,Tanima Bhattacharya,Narottam Bain,Rajnikant Singh
1984,131,Comedy,6.0,35,K.K. Talwar,Jalal Agha,Kalpana Iyer,Jagdeep
2000,131,"Action, Mystery, Thriller",4.4,5,Bapu,Raj Babbar,Raza Murad,Sripradha
1985,131,Drama,6.6,158,J. Om Prakash,Rajesh Khanna,Smita Patil,Rakesh Roshan
1986,164,"Action, Crime, Drama",7.1,35,Bhagyaraj,Amitabh Bachchan,Sridevi,Jaya Prada
1988,148,"Action, Thriller",5.2,78,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff
1989,149,"Action, Drama, Family",4.1,53,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda
1989,120,"Action, Crime, Drama",5.0,21,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya
2004,131,Action,6.0,35,Meena Amani,Harikrishna,Rajeev Kanakala,Mumait Khan
1991,131,Horror,4.8,47,Kiran Ramsay,Vijayendra Ghatge,Javed Khan,Sripradha
1993,131,Unknown,6.0,35,Deva Dutta,Bharat Bhushan,Sudha Chandran,Amita Nangia
1975,131,"Action, Crime, Drama",5.5,29,A. Salaam,Jeetendra,Saira Banu,Padma Khanna
1978,131,Action,5.6,21,Prakash Mehra,Randhir Kapoor,Vinod Khanna,Rekha
1958,131,Comedy,6.4,16,Mahesh Kaul,Nutan,Shekhar,Jeevan
2004,131,Drama,6.0,35,Kishore Dang,Aasif Sheikh,Preeti Bhutani,Raza Murad
1936,131,Unknown,6.0,35,Kamlabai Gokhale,Unknown,Unknown,Unknown
1975,131,Unknown,6.0,35,G.V. Iyer,G.V. Narayana Rao,Rekha,Krishna Swamy
1989,171,"Action, Crime, Drama",4.9,34,Shibu Mitra,Mithun Chakraborty,Sonam,Anupam Kher
1977,131,Action,4.8,18,Shibu Mitra,Sunil Dutt,Leena Chandavarkar,Farida Jalal
1980,131,"Action, Mystery",4.9,10,Kalidas,Mithun Chakraborty,Vijayendra Ghatge,Ashok Kumar
2002,131,Action,2.5,16,Rajesh Bakshi,Sudesh Berry,Anu Kashyap,Amit Pachori
1979,126,"Action, Thriller",6.3,7,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra,Yogeeta Bali
1966,153,Drama,6.9,122,Chetan Anand,Rajesh Khanna,Indrani Mukherjee,Master Bunty
2003,131,Thriller,6.0,35,Amrit Batra,Arun Bakshi,Ramesh Bhatkar,Dinesh Hingoo
1994,131,Romance,6.0,35,Abhilasha,Girish,Ravi Menon,Raghu
1981,121,"Drama, Musical",6.0,35,Hiren Nag,Asha Parekh,Vikram Makandar,Zarina Wahab
1978,131,Action,6.0,35,Unknown,Unknown,Unknown,Unknown
1974,131,Unknown,6.0,35,S.A. Ashokan,Ram Chandran,Jyothi Lakshmi,Unknown
1988,131,Drama,6.0,35,K.C. Agarwal,Ratan Aulakh,Anil Chadha,Sudhir Dalvi
1949,131,Unknown,6.0,35,Muzammil Khurshid,Muzammil Khurshid,Leela Mishra,Niranjan Sharma
1999,131,Thriller,6.0,35,Papu Bahruz,Sudhir Dalvi,Raj Devgan,Mushtaq Khan
1977,110,Drama,6.0,35,Helen,Jagdeep,Murad,Maya Sinha
1990,160,"Action, Romance",7.3,39,N.K. Vishwanathan,Nassar,Nirosha,Aurn Pandian
1997,138,Action,2.8,17,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna
2016,131,Thriller,6.0,35,Sandeep Kumar,Tanvi Arora,Sonia Bajwa,Aaryan Chopra
1975,139,"Drama, History, Romance",6.3,44,J. Om Prakash,Ashok Kumar,Sanjeev Kumar,Rakesh Roshan
2001,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1988,131,Drama,6.0,35,Vinod Kumar,Sadashiv Amrapurkar,C.S. Dubey,Kislaya
1980,144,"Crime, Drama, Music",7.9,887,Govind Nihalani,Naseeruddin Shah,Smita Patil,Amrish Puri
2010,115,"Action, Crime, Thriller",7.0,35,Priyadarshan,Ajay Devgn,Akshaye Khanna,Bipasha Basu
1998,131,"Action, Crime, Drama",4.6,93,Lateef Binny,Sunil Shetty,Shilpa Shetty Kundra,Girish Karnad
2012,116,Sci-Fi,5.4,26,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit
2001,177,"Action, Thriller",7.2,35,Suresh Krishna,Kamal Haasan,Raveena Tandon,Manisha Koirala
1962,131,"Drama, History",6.0,35,Jaswant Jhaveri,Master Bhagwan,Paidi Jairaj,Jeevan
2007,152,Action,3.0,922,Chella,Ajith Kumar,Asin Thottumkal,Vivek
2018,107,"Drama, Family",7.7,72,Mrinal Sen,Saswata Chatterjee,Nandita Das,Koushik Sen
2001,150,"Comedy, Drama, Family",4.8,35,K. Raghavendra Rao,A.S. Ravindra Babu,Govinda,Juhi Chawla
2008,99,"Action, Crime, Drama",7.7,35,Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala
2013,62,Animation,6.0,35,Rajiv Chilaka,Jigna Bhardwaj,Rajesh Kava,Sabina Malik
1967,163,"Crime, Mystery, Romance",6.5,81,Suraj Prakash,Shashi Kapoor,Sharmila Tagore,Prem Chopra
1982,143,"Action, Crime, Drama",6.4,53,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami,Arti Gupta
2009,131,Drama,5.8,60,Rupali Guha,Vega Tamotia,Ntasha Bhardwaj,Maanvi Gagroo
2018,131,Drama,6.0,35,Arup Manna,Unknown,Unknown,Unknown
1984,130,Drama,6.4,37,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor
1972,131,Drama,6.1,28,Prakash Mehra,Rajendra Kumar,Rakhee Gulzar,Kumkum
1956,131,Romance,2.8,5,D.D. Kashyap,Ajit,Nalini Jaywant,Mahipal
1970,177,"Drama, Musical, Romance",6.4,211,Mukul Dutt,Rajesh Khanna,Asha Parekh,Vinod Khanna
2004,149,"Action, Crime, Drama",5.7,35,Madhur Bhandarkar,Akshay Kumar,Shatrughan Sinha,Sunil Shetty
2003,160,Drama,5.6,102,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer
1980,138,"Action, Drama, Family",6.4,58,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar,Rekha
1960,131,"Drama, Family",4.9,8,Vasant Joglekar,Ashok Kumar,Nirupa Roy,Nanda
1968,131,Drama,5.7,6,Karunesh Thakur,Sajjan,Kamini Kaushal,Dev Dutt
1993,131,Action,6.0,35,Swaroop Kumar,Shanti Priya,Ronit Roy,Tapasya
1975,133,"Drama, Romance",8.1,35,Gulzar,Suchitra Sen,Sanjeev Kumar,Om Shivpuri
1948,131,Drama,6.0,35,T.R. Sundaram,Unknown,Unknown,Unknown
1964,131,"Action, Adventure, Romance",6.0,8,Mohammed Hussain,Dara Singh,Mumtaz,Kamran
1985,144,Drama,6.1,49,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa
1952,136,Drama,7.4,30,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik
1990,145,Drama,4.8,38,David Dhawan,Mumtaz,Prasenjit Chatterjee,Madhushree
1959,131,"Music, Romance",6.6,31,O.P. Dutta,Agha,Ameeta,Rehman
1973,131,"Drama, Family",6.0,35,Nasir Hussain,Farida Jalal,Ashim Kumar,Leela Mishra
1979,131,"Drama, Family",5.6,5,Harsh Kohli,Rakesh Roshan,Lakshmi,Prema Narayan
2019,94,Drama,6.6,15,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh
1933,131,Unknown,6.0,35,J.J. Madan,Khurshid Begum,Mukhtar Begum,Jehanara Kajjan
1943,131,Unknown,6.0,35,Balwant Bhatt,Prithviraj Kapoor,Trilok Kapoor,Kaushalya
1972,131,Family,6.0,6,Ramanna,Rakesh Roshan,Bharti,Om Prakash
2021,131,"Comedy, Family",6.0,35,Umesh Shukla,Paresh Rawal,Sharman Joshi,Abhimanyu Dasani
1942,131,Unknown,6.0,35,R.S. Choudhury,Nalini Jaywant,Unknown,Unknown
2004,131,Action,7.4,15,Nassar,Sada,Srikanth,Unknown
1993,170,"Action, Comedy, Crime",6.7,35,David Dhawan,Govinda,Chunky Panday,Raj Babbar
1950,131,"Drama, Family",7.2,6,Devendra Goel,Shekhar,Bharat Bhushan,Nalini Jaywant
2002,165,"Crime, Drama, Thriller",7.4,35,Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Sushmita Sen
2021,131,Thriller,6.0,35,Abhinay Deo,Amitabh Bachchan,Sidharth Malhotra,Unknown
1978,131,Drama,6.0,35,Rajinder Singh Bedi,Suresh Bhagwat,Bhanumati,Bipin Gupta
1972,154,"Drama, Romance",6.4,28,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan,Achala Sachdev
2005,131,Romance,6.0,35,Nilu Gavankar,Usha Bachani,Janina Gavankar,Cleo Isaacs
1953,131,Drama,6.0,35,Shanti Kumar,Kamini Kaushal,Kumkum,Madan Mohan
1970,150,"Comedy, Drama, Family",6.5,24,P. Madhavan,Hema Malini,Parikshit Sahni,Jagdeep
1936,131,Unknown,6.0,35,Anand Prasad Kapoor,Anwari,Sarla,Surendra
1993,131,Drama,6.0,35,Hiren Goswani,Dixita,Anant Galvi,Raj Goswami
1983,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
2003,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
1984,131,Drama,6.0,35,Murlidhar Kapdi,Agha,Birbal,Chandrashekhar
2021,131,Drama,6.0,35,Faheem Chaudhry,Sonal Jha,Omkar Das Manikpuri,Rajesh Jais
1964,131,Documentary,6.0,35,Pramod Pati,Unknown,Unknown,Unknown
1964,131,"Drama, Romance",6.2,15,R.K. Nayyar,Joy Mukherjee,Saira Banu,Sanjeev Kumar
1983,131,Drama,6.0,35,Prakash Verma,Anita Advani,Radhika Bartake,Benjamin Gilani
1994,141,Romance,4.2,160,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali
2009,140,"Comedy, Family, Fantasy",5.1,584,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri
1971,119,"Comedy, Drama, Romance",6.6,80,Mohan Kumar,Rajendra Kumar,Sadhana,Prem Chopra
1976,145,"Drama, Family",5.7,32,Mohan Kumar,Shashi Kapoor,Hema Malini,Ashok Kumar
1948,131,Drama,6.0,35,Kumar,Agha,Ajit,Khurshid Begum
2003,131,Musical,6.0,35,Ruslaan Mumtaz,Unknown,Unknown,Unknown
1988,131,Romance,6.0,35,Baby Bulbul,Devesh,Jiteshwari,Ritu Khanna
1980,131,Romance,5.8,204,Surendra Mohan,Jeetendra,Rishi Kapoor,Tina Ambani
1986,131,Drama,5.7,49,J. Om Prakash,Smita Patil,Anil Kapoor,Rati Agnihotri
1974,153,"Romance, Drama",7.0,420,J. Om Prakash,Rajesh Khanna,Mumtaz,Sanjeev Kumar
1977,115,"Action, Comedy, Drama",6.3,27,Sudhendu Roy,Vinod Khanna,Rekha,Nadira
2006,122,"Comedy, Romance",3.6,863,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel
1939,131,Unknown,6.0,35,Sarvottam Badami,Khurshid Begum,Sabita Devi,Sunalini Devi
1964,128,"Drama, Family, Romance",6.3,39,Mohan Kumar,Dharmendra,Supriya Choudhury,Vijayalaxmi
1946,131,Unknown,6.0,35,Vasant Joglekar,Nimbalkar,Unknown,Unknown
2002,180,"Action, Drama, Romance",3.1,35,Vikram Bhatt,Hrithik Roshan,Ameesha Patel,Kiran Kumar
1994,131,Romance,6.0,35,Ayush,Unknown,Unknown,Unknown
1978,131,Romance,6.0,35,P. Sharma,Rita Anchan,Satish Kaul,Sona
1980,145,"Romance, Drama, Family",5.6,38,Ambrish Sangal,Raj Babbar,Ranjeeta Kaur,Deepak Parashar
2009,131,Drama,6.0,10,Mandakini Mathur,Sohail Mokashi,Satyajit Kadam,Unknown
1981,148,"Action, Romance",5.2,17,Harmesh Malhotra,Poonam Dhillon,Raj Babbar,Shakti Kapoor
2003,145,"Action, Comedy, Drama",4.5,273,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal
1992,131,Drama,6.4,12,Sanjay Soorkar,Prashant Damle,Mohan Joshi,Sudhir Joshi
1985,125,Action,6.1,44,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt
2004,131,Action,6.0,35,Genelia D'Souza,Nitin Kumar,Pradeep Singh Rawat,Unknown
1997,180,Thriller,6.1,230,Ketan Mehta,Jackie Shroff,Deepa Sahi,Ritu Shivpuri
2011,164,"Drama, Thriller",6.2,35,Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee
1951,131,Romance,6.8,40,D.D. Kashyap,Dev Anand,Madhubala,Talat Mahmood
1976,131,Drama,6.0,35,Gyan Kumar,Saira Banu,Kishore Namit Kapoor,Ravi Kumar
1957,210,Horror,5.9,7,Varalakshmi G.,Unknown,Unknown,Unknown
1979,131,Drama,6.0,35,S.P. Muthuraman,Unknown,Unknown,Unknown
1982,131,Romance,6.0,35,Kishore Kapoor,Vipin Kapoor,Rakesh Pandey,Rama Vij
1974,129,Drama,6.7,13,Atma Ram,Vinod Khanna,Saira Banu,Vinod Mehra
1954,146,"Musical, Romance, Thriller",6.6,250,Guru Dutt,Shyama,Guru Dutt,Jagdish Sethi
1962,156,"Family, Musical, Romance",6.6,67,Phani Majumdar,Ashok Kumar,Meena Kumari,Pradeep Kumar
1945,131,Unknown,6.0,35,Ramchandra Thakur,Kanhaiyalal Chaturvedi,Surendra,Vanamala
2007,157,"Action, Drama, Romance",4.6,191,Balasekaran,Bhavana,Madhavan,Prakash Raj
1992,131,Romance,6.0,35,Mani Nair,Unknown,Unknown,Unknown
1991,125,"Action, Drama, Fantasy",6.0,35,Mitesh Kumar Patel,Unknown,Unknown,Unknown
1988,131,Action,6.0,35,Ramya Krishnan,Mohanlal,Balan K. Nair,Gavin Packard
1999,175,"Drama, Romance",5.4,35,Lawrence D'Souza,Madhuri Dixit,Akshay Kumar,Saif Ali Khan
1953,131,Romance,5.1,13,Devendra Goel,Kamini Kaushal,Shekhar,Om Prakash
1978,131,Romance,6.0,35,Unknown,Unknown,Unknown,Unknown
1983,131,Drama,6.0,35,K.C. Agarwal,Girish Karnad,Nutan,Rameshwari
1961,131,"Family, Drama",6.8,32,Mohan Kumar,Vyjayanthimala,Rajendra Kumar,Raj Mehra
1981,131,Romance,5.8,107,J. Om Prakash,Dharmendra,Hema Malini,Prem Chopra
1957,171,"Comedy, Romance",6.5,23,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran
1980,123,"Drama, Musical, Romance",5.3,199,J. Om Prakash,Jeetendra,Reena Roy,Rameshwari
1983,131,Drama,6.0,35,Hari Atma,Omi Kapoor,Suhaas Khandke,Meena Paliwal
2010,120,Drama,7.1,35,Nagesh Kukunoor,John Abraham,Anaitha Nair,Girish Karnad
1986,131,Drama,2.6,11,Mahesh Bhatt,Amit Khanna,Mark Zubair,Deepti Naval
1974,131,"Crime, Drama, Romance",6.0,35,Syed Hussain,Harindranath Chattopadhyay,Ramesh Deo,Gajanan Jagirdar
1993,131,Drama,5.2,299,Umesh Mehra,Saif Ali Khan,Mamta Kulkarni,Mohnish Bahl
1962,150,Romance,6.7,64,Hrishikesh Mukherjee,Raj Kapoor,Padmini,Nanda
2001,160,"Action, Drama, Romance",3.8,403,Indra Kumar,Bobby Deol,Karisma Kapoor,Rahul Dev
2005,115,"Drama, Romance, Thriller",4.3,35,Aditya Datt,Emraan Hashmi,Tanushree Dutta,Sonu Sood
1977,136,Romance,5.5,85,J. Om Prakash,Rajesh Khanna,Zeenat Aman,Danny Denzongpa
1995,131,Comedy,6.2,13,Ajay Kashyap,Maya Alagh,Vikas Anand,Mohnish Bahl
1990,152,"Musical, Drama, Romance",6.3,35,Mahesh Bhatt,Rahul Roy,Anu Agrawal,Avtar Gill
2013,132,"Drama, Music, Musical",7.0,35,Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa
2011,109,"Drama, Romance",3.7,61,Shankhadeep,Shubhi Ahuja,Amit Dhamija,Preeti Gandwani
1968,146,Drama,7.3,203,Hrishikesh Mukherjee,Ashok Kumar,Sanjeev Kumar,Sumita Sanyal
2014,132,Drama,6.1,10,Sriparna Dey,Anamitra Roy,Anamitra Roy,Yovik
2018,105,"Action, Crime, Drama",5.2,8,Sudipto Sen,Subrat Dutta,Ameet Gaurr,Sunny Hinduja
2009,240,Drama,3.8,46,Rohit Krishnakant Nayyar,Hrishitaa Bhatt,Seema Biswas,Nauheed Cyrusi
1952,131,"Drama, Family",6.0,35,Dalsukh M. Pancholi,Nasir Khan,Shyama,Veena
1984,145,"Drama, Mystery",4.8,12,Tony Juneja,Rajiv Kapoor,Divya Rana,Tina Ambani
1965,172,Drama,5.5,6,Khwaja Ahmad Abbas,Prithviraj Kapoor,Dilip Roy,Surekha
1992,88,"Adventure, Comedy, Romance",6.8,56,Pankaj Parashar,Abhishek Chitlangia,Raghuvir Yadav,Anupam Kher
1993,150,Action,4.5,88,Mehul Kumar,Jeetendra,Madhuri Dixit,Kiran Kumar
1966,161,"Drama, Family",7.2,32,Satyen Bose,Mala Sinha,Biswajit Chatterjee,Balraj Sahni
2016,131,Biography,6.0,35,Raj Sagar,Raj Sagar,Atul Kulkarni,Ashok Samarth
2019,95,"Drama, Family, Romance",6.0,35,Dinesh Chaudhary,Uttar Kumar,Dev Sharma,Devika Thakur
1997,132,Drama,6.4,172,Basu Bhattacharya,Rekha,Om Puri,Dinesh Thakur
1996,113,"Action, Thriller",3.9,99,Prem Lalwani,Desh Mukherjee,Nafisa Ali,Dharmendra
1995,155,"Action, Crime, Drama",5.2,776,Dilip Shankar,Rajinikanth,Aamir Khan,Juhi Chawla
1999,118,Action,6.0,35,R. Mittal,Mohan Joshi,Bharat Kapoor,Arshad Khan
2006,167,"Action, Drama, Thriller",4.4,35,Ramana,Joseph Vijay,Trisha Krishnan,Vivek
1991,130,Comedy,6.0,35,Jasbir Bijender Bhati,Vikas Kailash,Unknown,Unknown
1979,139,Action,4.5,16,Ambrish Sangal,Jeetendra,Neetu Singh,Dheeraj Kumar
1994,155,"Action, Crime, Drama",5.8,735,Sanjay Gupta,Sanjay Dutt,Aditya Pancholi,Raveena Tandon
2006,107,"Crime, Drama, Horror",4.2,79,Deepak Ramsay,Kapil Jhaveri,Shabana Raza,Vikram Singh
2013,100,"Drama, Horror, Thriller",3.8,623,Suparn Varma,Jaideep Ahlawat,Bipasha Basu,Padam Bhola
1978,131,Thriller,6.0,35,Unknown,Unknown,Unknown,Unknown
2004,109,Horror,6.0,35,Keerthi Chawla,Anant Nag,Bullet Prakash,Unknown
2021,116,Musical,6.0,35,Durba Sahay,Sushma Seth,Shovana Narayan,Sunit Razdan
1998,153,"Comedy, Romance",6.4,170,E.V.V. Satyanarayana,Nagarjuna Akkineni,Tabu,Heera Rajgopal
1974,107,"Drama, Romance",7.0,213,Basu Bhattacharya,Rajesh Khanna,Sharmila Tagore,Dina Pathak
1956,146,Romance,5.1,7,Zia Sarhadi,Nalini Jaywant,Nasir Hussain,Usha Kiran
1990,131,"Drama, Romance",3.7,7,Sibte Hassan Rizvi,Bindu,Annu Kapoor,Satyendra Kapoor
2018,131,"Family, Music, Musical",6.0,35,Dharmesh Tiwari,Rucha Gujrati,Amit Agarwal,Unknown
1994,131,Thriller,6.0,35,Silk Smitha,Unknown,Unknown,Unknown
1964,128,"Action, Adventure, Fantasy",6.1,14,Mohammed Hussain,Kedar Kapoor,Dara Singh,Helen
1999,111,Action,5.4,31,Deepak Balraj Vij,Mithun Chakraborty,Aditya Pancholi,Gulshan Grover
1999,131,Drama,6.0,35,Papu Bahruz,Rajendra Gupta,Johnny Lever,Kirti Rawal
2021,131,Drama,6.0,35,Mihir Kumar Sharma,Deepak Singh,Deeksha Panth,Chirag Dave
1966,170,"Musical, Romance",6.6,109,Raghunath Jhalani,Asha Parekh,Dharmendra,Balraj Sahni
1980,131,Drama,6.0,35,Krishna Naidu,Rajni Bala,Birbal,Meera
2011,125,"Action, Musical, Thriller",4.4,346,Prashant Chadha,Sachiin Joshi,Candice Boucher,Arya Babbar
1995,147,"Action, Drama, Romance",5.0,35,Sachin Pilgaonkar,Sachin,Rohit Kumar Sharma,Dharmendra
